Zip,Zip Code Type,City,state,county,area_codes,Latitude,Longitude,Population
62010,STANDARD,Bethalto,IL,Madison County,618,38.9,-90.04,9675
62011,STANDARD,Bingham,IL,Fayette County,618,39.11,-89.21,0
62012,STANDARD,Brighton,IL,Jersey County,618,39.04,-90.13,6068
62013,STANDARD,Brussels,IL,Calhoun County,618,38.95,-90.58,495
62014,STANDARD,Bunker Hill,IL,Macoupin County,618,39.04,-89.95,3375
62015,STANDARD,Butler,IL,Montgomery County,217,39.19,-89.53,489
62016,STANDARD,Carrollton,IL,Greene County,217,39.29,-90.41,3404
62017,STANDARD,Coffeen,IL,Montgomery County,217,39.08,-89.39,949
62018,STANDARD,Cottage Hills,IL,Madison County,,38.91,-90.08,2781
62019,STANDARD,Donnellson,IL,Bond County,217,39.03,-89.47,0
62021,STANDARD,Dorsey,IL,Madison County,,38.97,-89.99,878
62022,STANDARD,Dow,IL,Jersey County,618,39.04,-90.31,1116
62024,STANDARD,East Alton,IL,Madison County,,38.88,-90.1,7855
62025,STANDARD,Edwardsville,IL,Madison County,618,38.8,-89.96,26229
62027,STANDARD,Eldred,IL,Greene County,217,39.28,-90.55,461
62028,STANDARD,Elsah,IL,Jersey County,618,38.95,-90.35,856
62031,STANDARD,Fieldon,IL,Jersey County,618,39.1,-90.49,855
62032,STANDARD,Fillmore,IL,Montgomery County,217,39.11,-89.27,621
62033,STANDARD,Gillespie,IL,Macoupin County,"217,618",39.12,-89.81,3967
62034,STANDARD,Glen Carbon,IL,Madison County,618,38.76,-89.97,11624
62035,STANDARD,Godfrey,IL,Madison County,618,38.96,-90.18,14101
62036,STANDARD,Golden Eagle,IL,Calhoun County,618,38.89,-90.57,592
62037,STANDARD,Grafton,IL,Jersey County,618,38.97,-90.42,1699
62040,STANDARD,Granite City,IL,Madison County,618,38.71,-90.12,35688
62044,STANDARD,Greenfield,IL,Greene County,217,39.34,-90.2,1717
62045,STANDARD,Hamburg,IL,Calhoun County,618,39.23,-90.71,0
62047,STANDARD,Hardin,IL,Calhoun County,618,39.15,-90.62,1324
62048,STANDARD,Hartford,IL,Madison County,,38.82,-90.09,1177
62049,STANDARD,Hillsboro,IL,Montgomery County,217,39.16,-89.48,5540
62050,STANDARD,Hillview,IL,Greene County,217,39.44,-90.53,0
62051,STANDARD,Irving,IL,Montgomery County,217,39.2,-89.4,739
62052,STANDARD,Jerseyville,IL,Jersey County,618,39.11,-90.32,10568
